solution_id,algorithm,makespan,carbon,truck_id,truck_route,drone_customers
23,NSGAII,224.98,1644.8,2,"[0, 27, 38, 69, 42, 97, 61, 60, 52, 87, 6, 65, 90, 5, 32, 3, 86, 67, 82, 39, 68, 84, 2, 0]","[42, 86]"
23,NSGAII,224.98,1644.8,3,"[0, 24, 45, 49, 36, 23, 56, 16, 18, 19, 41, 11, 83, 44, 59, 26, 13, 0]",[]
23,NSGAII,224.98,1644.8,4,"[0, 53, 66, 94, 51, 79, 29, 75, 81, 100, 76, 7, 47, 10, 15, 88, 63, 74, 78, 71, 43, 62, 48, 0]","[94, 100]"
23,NSGAII,224.98,1644.8,5,"[0, 98, 85, 30, 64, 8, 80, 0]",[]
23,NSGAII,224.98,1644.8,6,"[0, 92, 21, 91, 35, 31, 20, 12, 57, 96, 89, 93, 0]",[35]
24,NSGAII,218.24,1663.81,1,"[0, 20, 91, 12, 57, 7, 94, 79, 0]","[20, 94]"
24,NSGAII,218.24,1663.81,2,"[0, 43, 48, 62, 51, 29, 75, 81, 76, 10, 98, 88, 63, 74, 78, 64, 30, 15, 0]",[51]
24,NSGAII,218.24,1663.81,3,"[0, 92, 58, 77, 80, 4, 8, 55, 9, 46, 89, 47, 38, 95, 73, 14, 85, 71, 35, 40, 17, 27, 0]","[46, 58]"
24,NSGAII,218.24,1663.81,4,"[0, 96, 28, 42, 6, 65, 54, 70, 72, 86, 84, 37, 33, 22, 1, 34, 99, 25, 50, 0]",[33]
24,NSGAII,218.24,1663.81,5,"[0, 2, 19, 68, 39, 82, 67, 36, 3, 32, 49, 24, 90, 52, 87, 60, 61, 5, 97, 69, 26, 13, 0]",[]
24,NSGAII,218.24,1663.81,6,"[0, 21, 23, 56, 16, 18, 31, 41, 11, 83, 44, 59, 100, 93, 53, 45, 66, 0]",[83]
25,NSGAII,217.23,1720.57,1,"[0, 53, 58, 50, 99, 17, 40, 35, 15, 30, 74, 88, 85, 73, 95, 46, 55, 9, 28, 10, 0]",[]
25,NSGAII,217.23,1720.57,2,"[0, 34, 1, 33, 84, 68, 39, 82, 86, 67, 3, 32, 90, 6, 87, 52, 65, 5, 60, 61, 97, 93, 42, 80, 0]","[33, 60, 86]"
25,NSGAII,217.23,1720.57,3,"[0, 4, 94, 51, 79, 29, 75, 81, 76, 89, 14, 63, 78, 37, 72, 70, 62, 43, 25, 0]","[79, 89]"
25,NSGAII,217.23,1720.57,4,"[0, 24, 45, 49, 54, 36, 22, 23, 16, 19, 2, 13, 27, 83, 26, 59, 44, 69, 38, 0]",[83]
25,NSGAII,217.23,1720.57,5,"[0, 56, 0]",[]
25,NSGAII,217.23,1720.57,6,"[0, 66, 77, 48, 92, 21, 91, 18, 31, 71, 64, 98, 47, 7, 8, 100, 57, 96, 11, 41, 12, 20, 0]","[20, 57, 91]"
26,NSGAII,214.12,1758.27,1,"[0, 31, 16, 68, 99, 36, 32, 49, 53, 5, 61, 60, 7, 26, 38, 44, 96, 14, 27, 0]",[]
26,NSGAII,214.12,1758.27,2,"[0, 56, 50, 0]",[]
26,NSGAII,214.12,1758.27,3,"[0, 2, 25, 34, 1, 22, 84, 39, 19, 13, 41, 42, 97, 52, 87, 90, 3, 54, 70, 72, 67, 86, 24, 0]","[22, 42]"
26,NSGAII,214.12,1758.27,4,"[0, 45, 93, 100, 28, 47, 59, 83, 11, 73, 17, 18, 71, 35, 20, 91, 21, 23, 92, 58, 77, 0]","[35, 77]"
26,NSGAII,214.12,1758.27,5,"[0, 12, 95, 57, 69, 46, 81, 76, 75, 6, 65, 79, 94, 66, 82, 33, 37, 62, 48, 43, 0]",[75]
